,para,std,lb,ub,0inbound
rx_nonbh_net_paid_pmpm_cost,0.0026578477,0.006618287,-0.010578726,0.015894422,1
rx_maint_pmpm_ct_9to12m_b4,-0.021618275,0.0039404994,-0.029499274,-0.013737276,0
cms_risk_adjustment_factor_a_amt,0.07811369,0.0033429994,0.07142769,0.08479969,0
rx_generic_pmpm_cost,-0.07123274,0.005605099,-0.08244294,-0.060022548,0
cmsd2_eye_retina_pmpm_ct,-0.031244703,0.0043340274,-0.039912757,-0.022576649,0
auth_3mth_post_acute,-0.056186143,0.0633305,-0.18284714,0.07047486,1
auth_3mth_facility,-0.05943347,0.035431456,-0.13029638,0.01142944,1
rx_days_since_last_script_0to3m_b4,0.0026633318,0.004337078,-0.006010824,0.011337488,1
auth_3mth_acute_mean_los,0.029955752,0.028460508,-0.026965264,0.086876765,1
credit_num_autofinance,-0.010334963,0.002924802,-0.016184567,-0.004485359,0
auth_3mth_home,0.009936069,0.021184992,-0.032433916,0.052306052,1
rx_maint_mbr_resp_pmpm_cost_6to9m_b4,-0.009350361,0.0074871765,-0.024324715,0.0056239916,1
atlas_pct_laccess_black15,-0.014903409,0.0026638915,-0.020231193,-0.009575626,0
atlas_hh65plusalonepct,-0.0009775677,0.0022792032,-0.005535974,0.0035808384,1
auth_3mth_acute_inj,-0.020122334,0.15479381,-0.32970995,0.2894653,1
rej_days_since_last_clm,0.025083276,0.0025076785,0.020067919,0.030098632,0
bh_outpatient_net_paid_pmpm_cost,0.023689194,0.007419996,0.008849202,0.038529187,0
atlas_dirsales_farms12,-0.010292854,0.0035645906,-0.017422035,-0.003163673,0
rx_generic_pmpm_cost_6to9m_b4,-0.00850014,0.0054566315,-0.019413404,0.002413123,1
rev_cms_ansth_pmpm_ct,0.016027596,0.0035625491,0.008902498,0.023152694,0
atlas_convspth14,0.0044743665,0.0023484768,-0.00022258703,0.00917132,1
total_med_allowed_pmpm_cost_9to12m_b4,-0.023655681,0.005697462,-0.035050604,-0.012260757,0
auth_3mth_acute,0.037898988,0.03416032,-0.030421652,0.10621963,1
rx_nonbh_pmpm_ct_0to3m_b4,-0.0043882504,0.0056651663,-0.015718583,0.006942082,1
atlas_pc_ffrsales12,0.012555359,0.00397376,0.0046078386,0.02050288,0
auth_3mth_dc_left_ama,0.050835334,0.094571956,-0.13830858,0.23997924,1
credit_bal_bankcard_severederog,-0.018461736,0.002813824,-0.024089385,-0.012834088,0
atlas_povertyunder18pct,-0.0010383375,0.0026082976,-0.006254933,0.0041782577,1
rx_tier_1_pmpm_ct_0to3m_b4,-0.05701851,0.0035219353,-0.06406238,-0.04997464,0
cons_estinv30_rc,-0.057237353,0.0035646982,-0.06436675,-0.050107956,0
auth_3mth_bh_acute_men,0.078678034,0.12109435,-0.16351068,0.32086673,1
rx_gpi2_34_pmpm_ct,-0.024842752,0.007899674,-0.040642098,-0.009043405,0
auth_3mth_dc_custodial,-0.034252614,0.045710023,-0.12567267,0.057167433,1
atlas_veg_acrespth12,-0.050784636,0.004934479,-0.060653593,-0.04091568,0
atlas_grocpth14,0.020634666,0.0021707756,0.016293116,0.024976216,0
rx_gpi2_90_dist_gpi6_pmpm_ct_9to12m_b4,-0.025840225,0.0031322974,-0.03210482,-0.01957563,0
atlas_csa12,0.00084853725,0.0033402992,-0.005832061,0.007529136,1
auth_3mth_acute_hdz,-0.01581789,0.090517394,-0.19685268,0.1652169,1
atlas_pct_fmrkt_snap16,-0.015142527,0.0021525307,-0.01944759,-0.0108374655,0
met_obe_diag_pct,0.03253218,0.0028489833,0.026834216,0.038230147,0
cms_partd_ra_factor_amt,0.01096005,0.0030577807,0.0048444886,0.017075611,0
atlas_pct_sbp15,0.0038129606,0.0046979017,-0.005582843,0.013208764,1
rwjf_resident_seg_black_inx,0.02861008,0.0019523365,0.024705408,0.032514755,0
atlas_pct_cacfp15,-0.0020458526,0.0035593482,-0.009164549,0.0050728437,1
auth_3mth_rehab,-0.021847075,0.1147623,-0.25137168,0.20767753,1
pdc_lip,0.041993257,0.0042328844,0.033527486,0.050459027,0
atlas_ffrpth14,7.742227e-05,0.0020208654,-0.0039643086,0.004119153,1
credit_num_autobank_new,0.008700602,0.002556981,0.0035866397,0.013814564,0
rx_tier_2_pmpm_ct,-0.03148844,0.004464848,-0.040418137,-0.022558745,0
cons_n2pwh,0.04060629,0.0028231589,0.034959972,0.04625261,0
atlas_berry_acrespth12,0.009307502,0.0044065025,0.0004944969,0.018120507,0
atlas_pct_fmrkt_credit16,0.0026097295,0.0017942867,-0.0009788438,0.006198303,1
atlas_slhouse12,0.03106201,0.005334433,0.020393144,0.041730877,0
atlas_pc_fsrsales12,0.0038285377,0.0040847883,-0.004341039,0.011998114,1
credit_hh_1stmtgcredit,-0.008393158,0.0030524023,-0.014497963,-0.0022883536,0
auth_3mth_snf_post_hsp,-0.0047377865,0.061414827,-0.12756744,0.11809187,1
atlas_pct_fmrkt_wiccash16,0.019224908,0.0033224218,0.012580065,0.025869751,0
atlas_foodinsec_13_15,-0.106200874,0.0064781713,-0.11915722,-0.09324453,0
atlas_fmrktpth16,0.020199332,0.00239898,0.015401373,0.024997292,0
cci_dia_m_pmpm_ct,0.043145433,0.003483626,0.03617818,0.050112687,0
cons_n2phi,0.029432673,0.0030617244,0.023309223,0.035556123,0
bh_physician_office_copay_pmpm_cost_6to9m_b4,0.025281448,0.0100584505,0.005164547,0.045398347,0
rwjf_income_inequ_ratio,-0.01889016,0.0021840676,-0.023258295,-0.0145220235,0
rej_total_physician_office_visit_ct_pmpm_0to3m_b4,-0.0131441625,0.0044681868,-0.022080537,-0.004207789,0
credit_num_nonmtgcredit_60dpd,0.007785633,0.0041618436,-0.0005380539,0.016109321,1
credit_bal_autofinance_new,-0.013554424,0.0028362465,-0.019226916,-0.007881931,0
rwjf_men_hlth_prov_ratio,0.008739227,0.0023524812,0.004034265,0.01344419,0
auth_3mth_dc_home_health,0.023409594,0.020105472,-0.01680135,0.06362054,1
rx_gpi2_56_dist_gpi6_pmpm_ct_3to6m_b4,-0.027295124,0.0030530654,-0.033401255,-0.021188993,0
cmsd2_sns_genitourinary_pmpm_ct,0.0066843717,0.0038843004,-0.001084229,0.014452972,1
auth_3mth_acute_cir,-0.004003176,0.14349924,-0.29100165,0.2829953,1
bh_ncal_pct,-0.0379211,0.020954859,-0.07983082,0.003988616,1
atlas_pct_snap16,0.033253692,0.0036190422,0.026015608,0.040491775,0
ccsp_227_pct,0.042387664,0.0037044687,0.034978725,0.049796604,0
atlas_ghveg_sqftpth12,-0.01598062,0.0032592642,-0.022499148,-0.009462092,0
rx_days_since_last_script_6to9m_b4,-0.005764823,0.0050747623,-0.015914347,0.0043847016,1
atlas_orchard_acrespth12,0.034276262,0.0072542457,0.01976777,0.048784755,0
atlas_pct_laccess_multir15,-0.007437471,0.002736243,-0.012909956,-0.001964985,0
ccsp_065_pmpm_ct,-0.032224145,0.036623787,-0.105471715,0.04102343,1
atlas_medhhinc,0.016779775,0.0029022014,0.010975372,0.022584178,0
rwjf_mental_distress_pct,0.024842892,0.00289919,0.019044511,0.030641273,0
atlas_pct_laccess_nhpi15,-0.052420296,0.007966798,-0.06835389,-0.0364867,0
auth_3mth_post_er,0.017265659,0.021787839,-0.02631002,0.060841337,1
credit_num_consumerfinance_new,0.0068308376,0.003378136,7.456541e-05,0.01358711,0
rx_gpi2_49_pmpm_cost_0to3m_b4,-0.078728236,0.006995852,-0.09271994,-0.06473653,0
cons_chva,-0.02171851,0.0038188635,-0.029356238,-0.014080782,0
atlas_avghhsize,0.022730889,0.0021494958,0.018431898,0.02702988,0
rx_overall_net_paid_pmpm_cost_6to9m_b4,0.004939546,0.006484773,-0.00803,0.017909091,1
atlas_ownhomepct,0.00052436895,0.002408276,-0.004292183,0.005340921,1
atlas_orchard_farms12,0.0761852,0.008739155,0.058706887,0.093663506,0
atlas_pct_fmrkt_wic16,0.013202244,0.0026322254,0.007937794,0.018466696,0
rx_gpi2_33_pmpm_ct_0to3m_b4,0.017152792,0.0024563612,0.012240069,0.022065515,0
rwjf_social_associate_rate,0.021339007,0.0022894791,0.016760048,0.025917966,0
atlas_freshveg_farms12,-0.010748411,0.004041875,-0.01883216,-0.002664661,0
auth_3mth_acute_sns,-0.00744715,0.07947583,-0.16639881,0.1515045,1
days_since_last_clm_0to3m_b4,0.0017060264,0.0034283353,-0.005150644,0.008562697,1
auth_3mth_dc_other,-0.018990029,0.09289276,-0.20477554,0.16679549,1
auth_3mth_bh_acute_mean_los,0.0074025164,0.07508966,-0.14277682,0.15758184,1
mcc_end_pct,0.014528114,0.002611083,0.009305948,0.01975028,0
cons_lwcm07,0.030520804,0.0023575719,0.02580566,0.03523595,0
atlas_pct_fmrkt_otherfood16,0.025386017,0.0029504867,0.019485043,0.031286992,0
auth_3mth_acute_mus,0.046858594,0.13338988,-0.21992116,0.31363833,1
atlas_pct_laccess_white15,0.026776081,0.0021889342,0.022398213,0.031153949,0
auth_3mth_post_acute_mean_los,-0.025171924,0.05645927,-0.13809046,0.08774662,1
rx_gpi2_66_pmpm_ct,0.024556795,0.0026320561,0.019292682,0.029820908,0
auth_3mth_acute_gus,-0.032114133,0.13234435,-0.29680282,0.23257457,1
Popttl,0.00010998883,0.019410541,-0.038711093,0.03893107,1
Series_Complete,-0.015774429,0.053208012,-0.12219045,0.090641595,1
Administered_Dose1_Recip,0.016722135,0.05882065,-0.100919165,0.13436344,1
Series_Complete_Pop_Pct,0.009751568,0.006613745,-0.0034759222,0.022979058,1
Administered_Dose1_Pop_Pct,-0.00091708294,0.006574121,-0.014065324,0.012231159,1
Estimated_hesitant,0.021753324,0.009555683,0.002641959,0.04086469,0
Estimated_hesitant_or_unsure,-0.011278549,0.007220514,-0.025719577,0.003162479,1
Estimated_strongly_hesitant,-0.010963505,0.0062819044,-0.023527313,0.0016003037,1
SVI_Index ,0.0010739898,0.0025565824,-0.004039175,0.006187155,1
CVAC_level,0.0004691293,0.0022526076,-0.0040360857,0.0049743447,1
cons_ltmedicr,-0.003882512,0.0019589274,-0.0078003667,3.534276e-05,1
cons_hxmioc,-0.06108846,0.002587861,-0.06626418,-0.05591274,0
cons_stlnindx,-0.055644475,0.0028466077,-0.06133769,-0.04995126,0
atlas_foodhub16,0.10251212,0.0062214565,0.090069205,0.11495504,0
cons_rxmaint,-0.021541577,0.0026225783,-0.026786733,-0.01629642,0
cons_hxwearbl,0.007693847,0.002586935,0.0025199773,0.012867717,0
cons_rxadhs,-0.025458248,0.0025740354,-0.030606318,-0.020310178,0
cons_rxadhm,0.08175109,0.0029679395,0.075815216,0.08768697,0
cons_cgqs,-0.039878625,0.0038308764,-0.047540378,-0.032216873,0
bh_ncdm_ind,-0.019816415,,,,0
atlas_retirement_destination_2015_upda,0.0051814876,,,,0
atlas_hiamenity,0.032137252,,,,0
bh_urgent_care_copay_pmpm_cost_t_12-9-6m_b4,0.0003847666,9.7083105e-15,0.0003847666,0.0003847666,0
atlas_hipov_1115,-0.010281727,,,,0
rej_med_ip_snf_coins_pmpm_cost_t_9-6-3m_b4,-0.03013748,1.3605219e-14,-0.03013748,-0.03013748,0
atlas_type_2015_mining_no,0.018345647,,,,0
atlas_low_employment_2015_update,0.009118274,3.154632e-15,0.009118274,0.009118274,0
bh_ncal_ind,0.021378592,,,,0
rej_med_er_net_paid_pmpm_cost_t_9-6-3m_b4,-0.030715652,1.7150847e-14,-0.030715652,-0.030715652,0
atlas_type_2015_recreation_no,0.024057288,,,,0
total_ip_maternity_net_paid_pmpm_cost_t_12-9-6m_b4,0.034875043,2.2113631e-14,0.034875043,0.034875043,0
atlas_population_loss_2015_update,0.00028226152,,,,0
atlas_farm_to_school13,0.012254249,,,,0
hedis_dia_hba1c_ge9,0.00922871,,,,0
atlas_persistentchildpoverty_1980_2011,-0.013432112,,,,0
bh_ip_snf_admit_days_pmpm_t_9-6-3m_b4,0.014075026,1.4926825e-14,0.014075026,0.014075026,0
atlas_perpov_1980_0711,0.0064089224,5.6081204e-15,0.0064089224,0.0064089224,0
atlas_low_education_2015_update,-0.00415162,,,,0
total_bh_copay_pmpm_cost_t_9-6-3m_b4_Dec_2x-4x,0.15237786,0.04968672,0.05300442,0.2517513,0
total_bh_copay_pmpm_cost_t_9-6-3m_b4_Dec_4x-8x,0.07191316,0.073444314,-0.07497547,0.2188018,1
total_bh_copay_pmpm_cost_t_9-6-3m_b4_Dec_over_8x,-0.12779117,0.070034474,-0.2678601,0.012277782,1
total_bh_copay_pmpm_cost_t_9-6-3m_b4_Inc_1x-2x,0.041821696,0.057060216,-0.072298735,0.15594213,1
total_bh_copay_pmpm_cost_t_9-6-3m_b4_Inc_2x-4x,0.07666924,0.09152481,-0.10638038,0.25971887,1
total_bh_copay_pmpm_cost_t_9-6-3m_b4_Inc_4x-8x,0.1897738,0.11436161,-0.038949415,0.41849703,1
total_bh_copay_pmpm_cost_t_9-6-3m_b4_Inc_over_8x,0.13344334,0.11789029,-0.10233724,0.36922392,1
total_bh_copay_pmpm_cost_t_9-6-3m_b4_New,0.017105058,0.03811543,-0.059125803,0.09333592,1
total_bh_copay_pmpm_cost_t_9-6-3m_b4_No Activity,-0.029995132,0.035113346,-0.10022183,0.04023156,1
total_bh_copay_pmpm_cost_t_9-6-3m_b4_No_Change,0.007736841,0.049152426,-0.09056801,0.10604169,1
total_bh_copay_pmpm_cost_t_9-6-3m_b4_Resolved,0.014843359,0.034961157,-0.055078954,0.08476567,1
mcc_ano_pmpm_ct_t_9-6-3m_b4_Dec_2x-4x,0.1440783,0.147596,-0.1511137,0.43927032,1
mcc_ano_pmpm_ct_t_9-6-3m_b4_Inc_1x-2x,-0.036007036,0.15173793,-0.3394829,0.2674688,1
mcc_ano_pmpm_ct_t_9-6-3m_b4_New,0.065412275,0.10197279,-0.1385333,0.26935786,1
mcc_ano_pmpm_ct_t_9-6-3m_b4_No Activity,0.028689925,0.09807687,-0.16746382,0.22484367,1
mcc_ano_pmpm_ct_t_9-6-3m_b4_No_Change,-0.11065341,0.11605309,-0.34275958,0.12145277,1
mcc_ano_pmpm_ct_t_9-6-3m_b4_Resolved,0.22623122,0.10098464,0.024261937,0.42820048,0
rx_maint_pmpm_cost_t_12-9-6m_b4_Dec_2x-4x,-0.024578825,0.008110404,-0.040799633,-0.008358017,0
rx_maint_pmpm_cost_t_12-9-6m_b4_Dec_4x-8x,-0.045694854,0.013113549,-0.07192195,-0.019467756,0
rx_maint_pmpm_cost_t_12-9-6m_b4_Dec_over_8x,-0.078270845,0.014948852,-0.10816855,-0.04837314,0
rx_maint_pmpm_cost_t_12-9-6m_b4_Inc_1x-2x,-0.0018871782,0.006044919,-0.013977016,0.01020266,1
rx_maint_pmpm_cost_t_12-9-6m_b4_Inc_2x-4x,0.016587302,0.009639672,-0.002692042,0.035866648,1
rx_maint_pmpm_cost_t_12-9-6m_b4_Inc_4x-8x,0.05680379,0.013373754,0.030056281,0.083551295,0
rx_maint_pmpm_cost_t_12-9-6m_b4_Inc_over_8x,0.00690375,0.014467982,-0.022032212,0.035839714,1
rx_maint_pmpm_cost_t_12-9-6m_b4_New,0.007508331,0.012322101,-0.01713587,0.032152534,1
rx_maint_pmpm_cost_t_12-9-6m_b4_No Activity,0.019626806,0.012682813,-0.005738821,0.044992432,1
rx_maint_pmpm_cost_t_12-9-6m_b4_No_Change,0.014766759,0.0076340386,-0.0005013179,0.030034836,1
rx_maint_pmpm_cost_t_12-9-6m_b4_Resolved,-0.010778307,0.014650006,-0.04007832,0.018521704,1
rx_nonbh_pmpm_cost_t_9-6-3m_b4_Dec_2x-4x,0.00027078143,0.006533406,-0.012796031,0.0133375935,1
rx_nonbh_pmpm_cost_t_9-6-3m_b4_Dec_4x-8x,0.0041521303,0.009552931,-0.0149537325,0.023257993,1
rx_nonbh_pmpm_cost_t_9-6-3m_b4_Dec_over_8x,0.007387894,0.010767368,-0.014146841,0.028922629,1
rx_nonbh_pmpm_cost_t_9-6-3m_b4_Inc_1x-2x,-0.018931685,0.00475125,-0.028434185,-0.009429185,0
rx_nonbh_pmpm_cost_t_9-6-3m_b4_Inc_2x-4x,-0.04066307,0.00739633,-0.05545573,-0.02587041,0
rx_nonbh_pmpm_cost_t_9-6-3m_b4_Inc_4x-8x,-0.047828402,0.01062941,-0.06908722,-0.026569583,0
rx_nonbh_pmpm_cost_t_9-6-3m_b4_Inc_over_8x,-0.023550384,0.010963535,-0.045477454,-0.0016233139,0
rx_nonbh_pmpm_cost_t_9-6-3m_b4_New,-0.0024971915,0.0200684,-0.04263399,0.037639607,1
